,roles,companies,locations,experience,salary,skills,Description,Roles,Education
0,Data Scientist - Image Processing/ Machine Learning,CarbyneTech India,Hyderabad,6 - 11 years,Not Disclosed,"Key Skills
Predictive ModelingData ScienceData ScientistTime Series AnalysisImage ProcessingData ManagementStatistical AnalystMachine LearningPredictive Analytics","Understand business problems, making sense of the data landscape & footprint, performing a combination of exploratory, Machine Learning & Advanced Analytics

Create, experiment with and delivery innovative solutions in a consultative mindset to client stakeholders

Lead teams of analysts to offer exceptional solutions to clients, across domains.

Work Location : Hyderabad

Experience and Qualification for Lead Data Scientist role :

- 6-8 years of experience in working on industrial use cases in data science using Machine Learning for measurement, forecasting, simulation and optimization

- Ability to generate insight out of sparse data and communicate stories; demonstrated ability to engage with client stakeholders at multiple levels and provide consultative solutioning; ability to - create engagement opportunities through advisory

- Demonstrated ability to lead and mentor teams of analysts in solutioning and delivery Background in Applied data science/ Computer Science/Computer Applications or any quantitative discipline (Statistics, Mathematics, Economics/Operations Research etc.) from a reputed institute.

- Strong knowledge of fundamentals of Data Science Statistical techniques, hypotheses generation and testing, exploratory data analysis; descriptive/inquisitive/predictive and prescriptive analysis; proficiency with variety of approaches and models

- Deep knowledge of techniques such as Linear Regression, gradient descent, Logistic Regression, Forecasting, Cluster analysis, Decision trees, Random Forests & SVM, Linear Optimization.

- Ability to work across different domains and get a quick sense of the business processes & flows

- Exceptional communication skills, both verbal and written, with a strong urge to learn, iterate and innovate","RoleData Analyst
Industry TypeAccounting, Finance
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :BCA in Computers, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
1,Principal Data Scientist - Machine/Deep Learning - NLP/Tensorflow,Fidius advisory,Bengaluru,8 - 13 years,Not Disclosed,"Key Skills
TensorflowNLPPyTorchdata scienceproduct managementdesignDeep Learning","Job Description :
- We are looking for a researcher who specializes in building personalization/recommender systems algorithm (ML APIs) for the applications mentioned above and work with our engineers to deploy them as scale.
What you will do :
- Apply your research expertise to build our ML-driven recommender system products, help us develop new solutions and unlock new directions, as well as analyse and optimise the systems we already. 
- You'll work closely with product teams and mentor them on best practices for modern ML, and keep the wider team informed on the state-of-the-art. In addition, you will be in a strategic position to influence future roadmaps for recommender system products.
- Collaborate with a cross-functional agile team spanning user research, design, data science, product management, and engineering to build new product features that advance our mission to connect artists and fans in personalized and relevant ways.
- Prototype new approaches and production-ize solutions at scale for our hundreds of thousands of active users. Help drive optimization, testing, and tools to improve quality.
Requirements :
- Master, Post-graduate or Ph.D. in computer science, machine learning, information retrieval, recommendation systems, natural language processing, statistics, math, engineering, operations research, or another quantitative discipline; or equivalent work experience.
- Good theoretical grounding in core machine learning concepts and techniques.
- Ability to perform comprehensive literature reviews and provide critical feedback on state-of-the-art solutions and how they may fit different operating constraints.
- Experience with a number of ML techniques and frameworks, e.g. Natural Language Processing, Recommender Systems, sampling, linear regression, decision trees, SVMs, deep neural networks, etc.
- Familiarity with one or more Deep learning software frameworks such as Tensorflow, PyTorch.","RoleAnalytics Manager
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :Any Graduate in Any Specialization
PG :M.Tech in Computers, MS/M.Sc(Science) in Computers"
2,Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,Hyderabad,5 - 10 years,Not Disclosed,"Key Skills
NLPData ScientistTime Series AnalysisArtificial IntelligenceData ManagementImage RecognitionDistributed ComputingMachine LearningPhDDeep LearningPython","Roles and Responsibilities
Job Description :

- PhD or MS in Computer Science, Computational Linguistics, Artificial Intelligence with a heavy focus on NLPText mining with 5 years of relevant industry experience.

- Creativity, resourcefulness, and a collaborative spirit.

- Knowledge and working experience in one or more of the following areas: Natural Language Processing, Clustering and Classifications of Text, Question Answering, Text Mining, Information Retrieval, Distributional Semantics, Knowledge Engineering, Search Rank and Recommendation.

- Deep experience with text-wrangling and pre-processing skills such as document parsing and cleanup, vectorization, tokenization, language modeling, phrase detection, etc.

- Proficient programming skills in a high-level language (e.g. Python, R, Java, Scala)

- Being comfortable with rapid prototyping practices.

- Being comfortable with developing clean, production-ready code.

- Being comfortable with pre-processing unstructured or semi-structured data.

- Experience with statistical data analysis, experimental design, and hypothesis validation.

Project-based experience with some of the following tools:

- Natural Language Processing (e.g. Spacy, NLTK, OpenNLP or similar)

- Applied Machine Learning (e.g. Scikit-learn, SparkML, H2O or similar)

- Information retrieval and search engines (e.g. ElasticsearchELK, SolrLucene)

- Distributed computing platforms, such as Spark, Hadoop (Hive, Hbase, Pig), GraphLab

- Databases ( traditional and NOSQL)

- Proficiency in traditional Machine Learning models such as LDAtopic modeling, graphical models, etc.

-Familiarity with Deep Learning architectures and frameworks such as Pytorch, Tensorflow, Keras.","RoleDatabase Architect/Designer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :MCA in Computers, MS/M.Sc(Science) in Computers, M.Tech in Computers
Doctorate :Ph.D in Computers, Doctorate Not Required"
3,Data Scientist - Image Processing/Machine Learning,CarbyneTech India,Hyderabad,6 - 11 years,Not Disclosed,"Key Skills
Predictive ModelingData ScienceData ScientistTime Series AnalysisImage ProcessingData ManagementMachine LearningPredictive Analytics","Roles and Responsibilities
Understand business problems, making sense of the data landscape & footprint, performing a combination of exploratory, Machine Learning & Advanced Analytics

Create, experiment with and delivery innovative solutions in a consultative mindset to client stakeholders

Lead teams of analysts to offer exceptional solutions to clients, across domains.

Work Location : Hyderabad

Experience and Qualification for Lead Data Scientist role :

- 6-8 years of experience in working on industrial use cases in data science using Machine Learning for measurement, forecasting, simulation and optimization

- Ability to generate insight out of sparse data and communicate stories; demonstrated ability to engage with client stakeholders at multiple levels and provide consultative solutioning; ability to - create engagement opportunities through advisory

- Demonstrated ability to lead and mentor teams of analysts in solutioning and delivery Background in Applied data science/ Computer Science/ Computer Applications or any quantitative discipline (Statistics, Mathematics, Economics/ Operations Research etc.) from a reputed institute.

- Strong knowledge of fundamentals of Data Science Statistical techniques, hypotheses generation and testing, exploratory data analysis; descriptive /inquisitive/ predictive and prescriptive analysis; proficiency with variety of approaches and models

- Deep knowledge of techniques such as Linear Regression, gradient descent, Logistic Regression, Forecasting, Cluster analysis, Decision trees, Random Forests & SVM, Linear Optimization.

- Ability to work across different domains and get a quick sense of the business processes & flows

- Exceptional communication skills, both verbal and written, with a strong urge to learn, iterate and innovate.","RoleData Analyst
Industry TypeAccounting, Finance
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :B.Tech/B.E. in Computers, BCA in Computers, B.A in Economics, Statistics, Maths, B.Sc in Maths, Computers, Statistics
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
4,Jr. Data Scientist,Wings Infonet Pvt. Ltd.,Hyderabad( Basheer Bagh ),0 - 2 years,"₹ 2,00,000 P.A.","Key Skills
Data ScienceBusiness IntelligenceResearch AnalysisBusiness Insights","Roles and Responsibilities
Looking for a Jr. Data Scientist to analyse information to find patterns that will help improve the data driven organizations.
Build data products to extract valuable business insights.
In this role, one should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data.
Candidates with passion for machine-learning and research will have advantage /preferred
Dedicated to work with client teams on solving our clients business problems with a strong quantitative nature. You will assist our clients through conducting quantitative analysis across the spectrum of marketing, sales, operations, Finance and Human resources. Your goal will be to help clients to analyse trends to make better decisions.
Leveraging your advanced data analysis skills, you will create innovative approaches to answer our clients most relevant questions, to prepare complex data analyses and models that help solve client problems and deliver significant measurable impact.
You will act as an analytics translator, communicating complex data related requirements between business and IT stakeholders. You will have a strong understanding of the design and development process of data analytics tools and experience working with business leaders.
Desired Candidate Profile
Bachelors degree in quantitative field like Computer Science, Engineering.
Distinctive communications skills, Intellectual curiosity, strong people skills, team orientation, and a professional attitude.
Perks and Benefits","RoleTechnical Architect
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :B.Tech/B.E. in Computers"
5,Sr . Data Scientist I,General Mills,Mumbai,12 - 17 years,Not Disclosed,"Key Skills
Computer scienceData analysisdata scienceMachine learningPLSQLMathematicsStatisticsOperationsAnalyticsPython","Job Details
Qualifications
General Mills is seeking a Data Scientist to join the Data Science and Analytic Engineering team (DSAS) in the Enterprise Data Capabilities function. It is tasked with collaborating with and enabling existing functional data science and analytics teams.
This team also provides data science expertise and services to advance initiatives around demand forecasting, text classification, operational analytics, and machine learning to name just a few.
It is also responsible for curating a community of practice to determine the best standards and practices around data science at General Mills.
70% of Time
Partners with clients to achieve service excellence through improved processes and systems and accurately reads the business partner s readiness for change
Recognizes opportunities to apply external industry trends and implements them within role.
Is considered an expert in at least one of T&S s functional areas; brings together resources, people, and technology to create more effective solutions for their immediate clients
Makes the business case for doing the right work to maximize value
Carefully accesses and knows when to openly question and when to support currently effective approaches
20% of Time
Lead Interactions with stakeholders to learn on problem statement and drive results.
Be an advocate for data science team
Constructively challenge the other data scientists on approach
Contribute to best practices as we evaluate new platforms, tools and pipelines
Mentor Jr. Data Scientist / Interns / Contractors
Collaborate with analytic leaders across functions
10% Of Time
Works on problems of diverse scope.
Demonstrates good judgment in selecting methods and techniques.
Networks with internal and external personnel in own area of expertise.
Lead research work to new analytic trends aligned to business
Demonstrates learning agility and ability to apply to work
Leverage and contribute to new open source innovation
Basic Comments
Should have working knowledge of atleast one database Python is mandatory Hypothesis, p-value, R2, RMSE, MAPE etc
Should have in-depth knowledge and implementation of algorithms 
Knowledge would be a plus Including high level knowhow of broader set of algos Google/AWS/Azure
At least one visualization tool
At least couple models operational CPG would be plus
Manage stakeholders and recommend analytic solutions.","RoleOutside Technical Consultant
Industry TypeFMCG, Foods, Beverage
Functional AreaIT Software - System Programming
Employment TypeFull Time, Permanent
Role CategorySystem Design/Implementation/ERP/CRM","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
6,Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Chennai, Mumbai, Bengaluru, Hyderabad",4 - 6 years,"₹ 15,00,000 - 20,00,000 P.A.","Key Skills
Predictive ModelingLogistic RegressionSegmentationData MiningText MiningMachine LearningRandom ForestSQLData ScienceRegression AnalysisRTime Series AnalysisStatistical ModelingDecision TreesPythonPredictive AnalyticsCluster AnalysisClient Handling","SKILLS :
- 4+ years of experience in data science solutioning design and delivery
- Should have worked with Retail/FMCG/BFSI/QSR projects solving analytical problems in Sales/Marketing/Supply Chain functions
- Very good understanding of Various algorithms, mathematical models, statistical techniques, data mining and text mining Regression models, Clustering/ Segmentation, time series forecasting, Decision trees/Random forest, etc
- Ability to choose the right model for the right data and translate that into code in R, Python, VBA have handled large datasets and good understanding of SQL
- Ability to handle a team of Data Analysts
RESPONSIBILITIES :
- Translate business requirements into technical requirements
- Data extraction, preparation and transformation
- Identify, develop and implement statistical techniques and algorithms that address business challenges and adds value to the organization
- Gather requirements and communicate findings in the form of a meaningful story with the stakeholders
- Create and implement data models
- Interact with clients for queries and delivery adoption","RoleData Analyst
Industry TypeKPO, Research, Analytics
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :B.Tech/B.E. in Any Specialization"
7,Senior Data Scientist,Bundl Technologies Pvt Ltd,Bengaluru,2 - 6 years,Not Disclosed,"Key Skills
Computer scienceIndustry researchData analysisSimulationMachine learningCustomer supportData miningSQLPythonTechnical documentation","What You will Be Doing
As a Senior Data Scientist on the MFP team, you will be building models that enable Swiggy to deliver on our promises with high efficiency and best experience.
You will work closely with world-class Engineering/Product/Operations teams to build state-of-the-art solutions that deeply impact Swiggy s business and customers.
A Senior Data Scientist is responsible for solving non-trivial, open-ended, high-impact problems impacting delivery efficiency and experience using machine/deep learning, optimization, data mining, statistical analysis and related techniques.
You would apply excellent problem-solving skills and independently scope, deconstruct and formulate solutions from first principles that bring outside-in and state of the art view.
You would have/develop a strong understanding of the business product and conduct data analysis to derive insights, develop hypothesis and validate with sound rigorous methodologies as a precursor to formulating the problems and modeling with ML
You would be owning a significant portion of the charter to drive delivery efficiency and delivery experience via deployment of state-of-the-art models for dispatch optimization
You would be collaborating with product and engineering to design and document an ambitious strategy, identify key metrics to drive, support with proof of concept, develop and execute on prioritized ideas, experiment, scale to achieve direct impact to Swiggy s business
You would be working with and mentoring fellow team members on the owned charter.
You would be contributing to the brand of the organization by publishing blogs, technical papers and presentations at conferences.
Job Requirements
Masters/PhD with focus in areas like Computer Science, Applied Mathematics, ML/DL, Statistics, Operations
Research with 7+ years of industry/research lab experience
Strong depth and breadth in machine/deep learning (theory and practice), optimization methods, data mining, statistics and linear algebra
Hands-on programming experience (intermediate to advanced level PySpark, Python, SQL, Keras/Tensorflow and beginner level Scala) on big data (familiarity with AWS and open-source ecosystem tools) with the ability to manipulate structured and unstructured data
Strong spoken and written communication skills, able to explain complex ideas in a simple, intuitive manner, write/maintain good technical documentation on projects
Experience in mentoring a small team of data scientists preferably in a startup or tech company
Experience with shipping ML data products in an engineering organization interfacing with other teams and departments to deliver impact.","RoleTeam Lead/Technical Lead
Industry TypeFMCG, Foods, Beverage
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
8,Junior Data Scientist/Junior Data Analyst,ADF Data Science Private Limited,Chennai,1 - 2 years,Not Disclosed,"Key Skills
Data ScienceRComputer ScienceData AnalysisData ProcessingMachine LearningScikit-LearnPythonSQL","Job Summary: We are looking for candidates to fill the role of (Junior or) Data Scientists/Data Analyst, with 1-2 years of development experience, who will be part of the data science teams, supporting business requirements and initiatives.

Roles and Responsibilities:

People, with no prior experience in the field and/or domain will spend their initial months in understanding data, do basic analysis and validation, reports, to get deeper understanding of the business.
Candidates with prior relevant experience will work in development and implementation of predictive models and recommend actionable insights; they will use advanced machine learning techniques, among others, as per business requirements.

Qualification & Experience:

1-2 years of development experience in OOPS programming languages like Python and data processing using SQL or equivalent
For experienced, good experience in analytical and statistical packages like R, Python Scikit-Learn
BE/B Tech degrees in Computer Science or MCA and in closely related Quantitative Disciplines","RoleData Analyst
Industry TypeIT-Software, Software Services
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI","Education
UG :B.Tech/B.E. in Any Specialization"
9,Senior Data Scientist- Bangalore/ Chennai,RANDSTAD INDIA PVT LTD,"Chennai, Bengaluru",8 - 13 years,Not Disclosed,"Key Skills
Machine LearningDeep LearningPython
CodingAI
Skills highlighted with ‘‘ are preferred keyskills","Our Exciting Opportunity

We are looking for Data Scientist for Bangalore and Chennai location-

You will
Contribute to rapid and iterative development of high quality ML/AI applications. This includes working with petabytes of 4G/5G-networks, IoT and exogenous data, and proposing/selecting/testing predictive models, recommendation engines, anomaly detection systems, statistical model, deep learning, reinforcement learning and other machine learning systems.
Work with new technologies and champion them in MI Communities within Ericsson.
Present and be prominent in MI related forums and conferences, e.g., presenting papers, organizing sessions and be a panelist
To be successful in the role you must have
Solid skills in Machine Learning especially techniques such as Linear/Logistic Regression, Bagging, Bayesian model, Neural Networks, Random forest, Gradient boosting, Hyperparameter optimization techniques etc.
Demonstrable skills and track record (Github, open source etc.) in the use of current state of the art machine learning frameworks such as Keras, TensorFlow, Scikit-Learn, H2o, Spark etc. in developing ML/AI applications
Programming skills in various languages (C++, Scala, Java, R) with proficiency in Python and/or C++","RoleTechnical Architect
Industry TypeTelcom, ISP
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :B.Tech/B.E. in Any Specialization"
